id;key;value;description
1;MIN_NUMBER_OF_RATINGS;Corporate Phased relationships;white Brand Money Market Account
2;MIN_NUMBER_OF_RATINGS;Refined Squares;maroon
3;MIN_NUMBER_OF_RATINGS;support Gorgeous;withdrawal
4;MIN_NUMBER_OF_RATINGS;ability Hat Iraq;magenta Concrete
5;MIN_NUMBER_OF_RATINGS;Mauritania;facilitate Tasty Concrete Chips Exclusive
6;MIN_NUMBER_OF_RATINGS;mission-critical;Berkshire Small Plastic Pants Investor
7;MIN_NUMBER_OF_RATINGS;Berkshire Designer;Credit Card Account
8;MIN_NUMBER_OF_RATINGS;Re-contextualized;web-enabled invoice withdrawal
9;MIN_NUMBER_OF_RATINGS;installation;Argentine Peso
10;MIN_NUMBER_OF_RATINGS;open-source turn-key;Sausages
